스튜디오ID	스튜디오명	반복여부	반복요일	수업이름	강사명	시작시간	끝나는시간	가격
20	하스야요가아카데미	TRUE	화요일	하스야	Bokyung	6:00	7:00	30000
20	하스야요가아카데미	FALSE	수요일	힐링	Sewon	10:00	11:10	30000
20	하스야요가아카데미	TRUE	화요일;목요일	Boditation	Master	10:00	11:10	50000
21	나우요가	TRUE	월요일	빈야사	Momo	12:10	13:10	25000
21	나우요가	FALSE		아쉬탕가	경희	18:10	19:30	25000
21	나우요가	FALSE		시바난다	Momo	10:00	11:00	25000
22	아리아요가 야탑역점	FALSE		Bungee yoga	Layla	19:00	20:00	30000
22	아리아요가 야탑역점	FALSE		flying air	Babara	10:30	11:30	35000
22	아리아요가 야탑역점	FALSE		healing yoga	Layla	21:40	22:40	20000
23	요가인디아	TRUE	화요일	매트 필라테스	-	9:00	10:00	-
23	요가인디아	TRUE	화요일;금요일	요가&굿볼	-	19:00	20:00	-
23	요가인디아	FALSE	월요일	힐링요가	-	21:00	22:00	-
24	림필라테스앤요가	FALSE	수요일	힐링테라피	유미정	11:00	12:00	25000
24	림필라테스앤요가	FALSE	화요일	기구 필라테스	민경수	18:10	19:10	30000
24	림필라테스앤요가	FALSE	수요일 	빈야사	구민아	9:30	10:30	30000
